epoch,accuracy,loss,val_accuracy,val_loss
0,0.35870468616485596,1.3354421854019165,0.409221887588501,1.28756844997406
1,0.6343758702278137,1.0095670223236084,0.6311239004135132,0.9585368037223816
2,0.793523371219635,0.5879129767417908,0.680115282535553,0.7979252338409424
3,0.847771942615509,0.4152017831802368,0.6858789920806885,0.8219357132911682
4,0.8829227685928345,0.328482061624527,0.6858789920806885,0.8346670269966125
5,0.9050650596618652,0.27178946137428284,0.6829971075057983,0.8874204158782959
6,0.92637699842453,0.2208341807126999,0.6887608170509338,0.9396677017211914
7,0.9402158856391907,0.18804897367954254,0.6858789920806885,0.980224609375
8,0.9529476761817932,0.15277893841266632,0.6628242135047913,1.0733327865600586
9,0.9565458297729492,0.1391974687576294,0.6772334575653076,1.1155940294265747
10,0.9620813727378845,0.12230052798986435,0.6829971075057983,1.1834510564804077
11,0.9665098190307617,0.1111178994178772,0.6772334575653076,1.2327884435653687
12,0.9690008163452148,0.10083507746458054,0.6714697480201721,1.2796556949615479
13,0.9712150692939758,0.09404102712869644,0.680115282535553,1.3081451654434204
14,0.9745364189147949,0.08325164020061493,0.6714697480201721,1.3809959888458252
15,0.9753667116165161,0.08429006487131119,0.6685879230499268,1.422795057296753
16,0.974259614944458,0.07821065187454224,0.6685879230499268,1.4435534477233887
17,0.9761970639228821,0.07466238737106323,0.6743515729904175,1.4767179489135742
18,0.9759202599525452,0.06628799438476562,0.6743515729904175,1.5176280736923218
19,0.9775809645652771,0.06736842542886734,0.6628242135047913,1.5763652324676514
20,0.977027416229248,0.06873767077922821,0.6657060384750366,1.6269210577011108
21,0.9775809645652771,0.06195690855383873,0.680115282535553,1.5695220232009888
22,0.9792416095733643,0.0549352653324604,0.6743515729904175,1.628470540046692
23,0.9775809645652771,0.06090123578906059,0.6772334575653076,1.6376757621765137
24,0.9781345129013062,0.06077108532190323,0.6743515729904175,1.7276211977005005
